,open,high,low,close,open_mean60,open_mean50,open_mean40,open_mean30,open_mean20,open_mean10,open_mean5,close_mean60,close_mean50,close_mean40,close_mean30,close_mean20,close_mean10,close_mean5,high_mean60,high_mean50,high_mean40,high_mean30,high_mean20,high_mean10,high_mean5,low_mean60,low_mean50,low_mean40,low_mean30,low_mean20,low_mean10,low_mean5
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,0.9685329728534188,0.974062200376688,0.9795479971772213,0.9849080316509475,0.9900737115510585,0.9949108954486882,0.9972279583386674,0.9695183922623404,0.9750366771465939,0.9804919043328176,0.9858231417391251,0.9909323121668991,0.9957149025745476,0.9979631662333861,0.9692085342360997,0.9747186407588337,0.9801782821129317,0.9855231497284734,0.9906365808820008,0.9954098784672232,0.9976632819608696,0.9690009481847368,0.9745312018354502,0.9799960774553046,0.9853361528333265,0.9904917871038301,0.9953212382450536,0.9976018379926456
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,0.9678253772528398,0.9733627830374546,0.978866057918637,0.9842490806090812,0.9894379045413829,0.9942879693192781,0.9966448957660419,0.9688191888389277,0.974347501711053,0.9798220604935032,0.9851773331528366,0.9903086084848294,0.9951121681326819,0.9974192685706174,0.9685443999111977,0.9740661060897472,0.9795467799828976,0.984918783600884,0.9900604542833648,0.9948612367845056,0.9971741738590911,0.9682591430060413,0.9737969478445109,0.979277445444782,0.9846360421283636,0.9898076841932557,0.9946423680392539,0.9969642132936721
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,0.9678810983000676,0.9734301653512623,0.9789437013501937,0.9843242747145191,0.9895288724221483,0.9943872483381925,0.9967036215145648,0.9688696400145047,0.9744089727753357,0.9798929109715112,0.9852445011083918,0.9903969195469827,0.9951983943519362,0.9974599145268329,0.968524941661514,0.9740522644431365,0.9795378836893289,0.984901391293788,0.9900544015443289,0.994833809443387,0.9970845838397464,0.968384209269787,0.9739384227548036,0.9794335251016951,0.9847967663869264,0.989996091187101,0.9948616956861044,0.9971618054980997
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,0.9676146804130906,0.9731589548815057,0.9786669452674764,0.9840450164423961,0.9892485918385525,0.9941138326553882,0.9964706731249462,0.968605627943664,0.9741407712715715,0.9796193087260299,0.9849692674731952,0.9901183368830158,0.9949323096723797,0.9972372130447608,0.9682989489884952,0.9738243813047017,0.9793069415522535,0.9846709061903929,0.989827498114432,0.9946289674112588,0.9969341897869108,0.9680792741667296,0.9736269701189894,0.9791141518639297,0.9844710721348221,0.9896621468624269,0.9945244805118598,0.9968542827997778
open_mean60,0.9685329728534188,0.9678253772528398,0.9678810983000676,0.9676146804130906,1.0,0.9991377166625123,0.9965401980153111,0.9922052930223397,0.986176139726506,0.9784930751716114,0.9740640500546924,0.9999838182072243,0.9989600381044483,0.9962022310438603,0.9917103746269684,0.9855293343324488,0.9777020918245933,0.973199051992464,0.9999665536306422,0.9989906520862358,0.9962797525948748,0.9918337027702704,0.9857013702903086,0.9779146415253244,0.9734226489047088,0.9999706396883629,0.9990151328027028,0.9963205399026455,0.991885601432692,0.9857499870799458,0.9779705419535654,0.9734893636412956
open_mean50,0.974062200376688,0.9733627830374546,0.9734301653512623,0.9731589548815057,0.9991377166625123,1.0,0.9989834318758563,0.9959230541905546,0.990833725032449,0.9837564356611708,0.9794970895897246,0.9992850529921464,0.9999809205224296,0.9987753601581392,0.9955279090520796,0.9902570079461648,0.9830063080525737,0.9786580478067787,0.9992188680984917,0.9999637107610971,0.9988137468857841,0.9956225717413356,0.990408774505295,0.9832055214145689,0.9788716030298562,0.9991980016169641,0.9999679029653868,0.9988429589355327,0.9956684531217621,0.99045929321831,0.9832701274895848,0.9789500060860928
open_mean40,0.9795479971772213,0.978866057918637,0.9789437013501937,0.9786669452674764,0.9965401980153111,0.9989834318758563,1.0,0.9987567155025856,0.9950294950390947,0.9888273358845553,0.9848266662623517,0.9968544033133888,0.9991563440848124,0.9999769122572966,0.9985041767309548,0.994551706597477,0.9881335323986997,0.9840247227598976,0.9967396284282211,0.9990818242337666,0.9999599057790185,0.9985563251634799,0.9946770610296519,0.9883202064797355,0.984231058353814,0.9966873170987974,0.9990554728903368,0.9999642777959546,0.9985897660309835,0.9947208578118056,0.9883866343670002,0.9843160722131484
open_mean30,0.9849080316509475,0.9842490806090812,0.9843242747145191,0.9840450164423961,0.9922052930223397,0.9959230541905546,0.9987567155025856,1.0,0.9983930555299405,0.9935760740483528,0.9899737163864393,0.9926878998544103,0.9962921850879719,0.9989673349520684,0.9999700036991875,0.9980692487044545,0.9929663798187273,0.9892185073144092,0.9925229719158964,0.9961597792981831,0.9988794543378245,0.9999538352083864,0.99814659464314,0.9931330248058285,0.9894206382117705,0.992437124396652,0.9960949849793669,0.9988461248853104,0.9999582956057429,0.9981799786311458,0.9931916794578334,0.9894972276756235
open_mean20,0.9900737115510585,0.9894379045413829,0.9895288724221483,0.9892485918385525,0.986176139726506,0.990833725032449,0.9950294950390947,0.9983930555299405,1.0,0.9976676210286545,0.9947648030622844,0.9868263957554013,0.9914007815730581,0.9954786169227366,0.9986637446974657,0.9999572904986511,0.9972074200475702,0.9940972093326299,0.9866099977799178,0.9912075181222562,0.9953191620219584,0.99855284542872,0.9999430902972644,0.9973201186514945,0.9942651266242849,0.9864919548429995,0.9911038474706111,0.9952386564152951,0.9985135965610638,0.9999469965009388,0.997383366090569,0.9943588268865482
open_mean10,0.9949108954486882,0.9942879693192781,0.9943872483381925,0.9941138326553882,0.9784930751716114,0.9837564356611708,0.9888273358845553,0.9935760740483528,0.9976676210286545,1.0,0.9988874162377025,0.979307518660369,0.9845195447057442,0.9895161299122542,0.9941518681577486,0.9980544844035507,0.999918030919347,0.9984003956114821,0.9790446065151489,0.9842662647157803,0.9892859439241516,0.9939528820189928,0.9979050041009121,0.9999145283911721,0.9985154228868248,0.9788856779366653,0.9841215585706241,0.9891486650471107,0.9938444549839431,0.997843439941735,0.9999172709520469,0.998571078962603
open_mean5,0.9972279583386674,0.9966448957660419,0.9967036215145648,0.9964706731249462,0.9740640500546924,0.9794970895897246,0.9848266662623517,0.9899737163864393,0.9947648030622844,0.9988874162377025,1.0,0.9749586956200403,0.9803592508707111,0.985634298767684,0.9907065627664404,0.9953722216032422,0.9992103316171654,0.9998463745827578,0.9746745140824457,0.9800764501739062,0.9853671172160414,0.9904630567903819,0.9951566683440399,0.9990744661170636,0.9998673993112926,0.9744929063011275,0.979911098796355,0.9852060570387153,0.9903168532205928,0.9950565045714391,0.9990324341818735,0.9998706232268322
close_mean60,0.9695183922623404,0.9688191888389277,0.9688696400145047,0.968605627943664,0.9999838182072243,0.9992850529921464,0.9968544033133888,0.9926878998544103,0.9868263957554013,0.979307518660369,0.9749586956200403,1.0,0.9991399573347958,0.9965489435600611,0.9922252759708892,0.9862114897359411,0.9785476236610046,0.9741238371676043,0.9999756786904157,0.9991634324931259,0.9966195746336862,0.9923422430800165,0.9863770196577089,0.9787533246490732,0.974340836583769,0.9999697084337389,0.9991782530621113,0.996650705396517,0.9923841340046096,0.9864168297570495,0.9788018251281516,0.9744005910600619
close_mean50,0.9750366771465939,0.974347501711053,0.9744089727753357,0.9741407712715715,0.9989600381044483,0.9999809205224296,0.9991563440848124,0.9962921850879719,0.9914007815730581,0.9845195447057442,0.9803592508707111,0.9991399573347958,1.0,0.9989864917830957,0.9959354108609543,0.9908617861628676,0.9838072701686374,0.979556912529788,0.9990666841587382,0.9999737091764288,0.9990159645950031,0.9960215848662045,0.9910055244231593,0.9839979245138859,0.9797623214972018,0.9990352182974648,0.9999672667242232,0.9990346393056582,0.9960567889657738,0.9910458537342431,0.984053892627287,0.9798323455640222
close_mean40,0.9804919043328176,0.9798220604935032,0.9798929109715112,0.9796193087260299,0.9962022310438603,0.9987753601581392,0.9999769122572966,0.9989673349520684,0.9954786169227366,0.9895161299122542,0.985634298767684,0.9965489435600611,0.9989864917830957,1.0,0.9987612272787909,0.9950469291638329,0.9888675787377229,0.9848761944091626,0.9964268610035306,0.9989027785364574,0.9999711563029944,0.998801851053456,0.9951608800005365,0.9890434545394667,0.9850720496395222,0.9963638499201304,0.9988652485650218,0.9999637478308996,0.9988235601070372,0.9951942395103428,0.9890996877489353,0.9851478108836338
close_mean30,0.9858231417391251,0.9851773331528366,0.9852445011083918,0.9849692674731952,0.9917103746269684,0.9955279090520796,0.9985041767309548,0.9999700036991875,0.9986637446974657,0.9941518681577486,0.9907065627664404,0.9922252759708892,0.9959354108609543,0.9987612272787909,1.0,0.9983997104230543,0.9936024499153403,0.9900104398606858,0.9920526296042861,0.995793243745526,0.9986611849248607,0.9999672393119536,0.9984600540672004,0.9937511560461657,0.9901956962701427,0.9919566710038923,0.9957174929987591,0.9986155290219394,0.9999583405404097,0.9984824519784221,0.9938015943115425,0.9902634148929824
close_mean20,0.9909323121668991,0.9903086084848294,0.9903969195469827,0.9901183368830158,0.9855293343324488,0.9902570079461648,0.994551706597477,0.9980692487044545,0.9999572904986511,0.9980544844035507,0.9953722216032422,0.9862114897359411,0.9908617861628676,0.9950469291638329,0.9983997104230543,1.0,0.9976796598357266,0.9947875791014487,0.9859877222189678,0.9906585758672029,0.9948752480220181,0.9982729249826038,0.999960192220525,0.9977653545004883,0.9949288570625943,0.9858588874986705,0.9905443513088042,0.9947816195291656,0.9982177368693722,0.9999487489270709,0.997817073995587,0.9950136476974434
close_mean10,0.9957149025745476,0.9951121681326819,0.9951983943519362,0.9949323096723797,0.9777020918245933,0.9830063080525737,0.9881335323986997,0.9929663798187273,0.9972074200475702,0.999918030919347,0.9992103316171654,0.9785476236610046,0.9838072701686374,0.9888675787377229,0.9936024499153403,0.9976796598357266,1.0,0.9988872429331233,0.978278092821213,0.9835442280274658,0.988624688876837,0.9933877651005683,0.9975060194152119,0.999942299122085,0.9989490246189167,0.978107184782654,0.9833885427690469,0.9884754607026642,0.9932611982827542,0.9974252517973116,0.9999248363567801,0.9989849772344963
close_mean5,0.9979631662333861,0.9974192685706174,0.9974599145268329,0.9972372130447608,0.973199051992464,0.9786580478067787,0.9840247227598976,0.9892185073144092,0.9940972093326299,0.9984003956114821,0.9998463745827578,0.9741238371676043,0.979556912529788,0.9848761944091626,0.9900104398606858,0.9947875791014487,0.9988872429331233,1.0,0.9738332386665643,0.9792645376266745,0.9845960528615307,0.9897509973223938,0.9945486651884758,0.9986962082126765,0.9999129486649618,0.9736395151520996,0.9790884779877348,0.9844243511837654,0.9895872795925252,0.9944281053339157,0.9986334773629691,0.9998881598374337
high_mean60,0.9692085342360997,0.9685443999111977,0.968524941661514,0.9682989489884952,0.9999665536306422,0.9992188680984917,0.9967396284282211,0.9925229719158964,0.9866099977799178,0.9790446065151489,0.9746745140824457,0.9999756786904157,0.9990666841587382,0.9964268610035306,0.9920526296042861,0.9859877222189678,0.978278092821213,0.9738332386665643,1.0,0.9991393117202327,0.9965464913922979,0.9922180756991689,0.9862007395559672,0.9785293739632498,0.9740942584411553,0.999902761044774,0.999061541875803,0.9964851518565511,0.992168390252834,0.9861502191014858,0.9784907147396021,0.9740699821307826
high_mean50,0.9747186407588337,0.9740661060897472,0.9740522644431365,0.9738243813047017,0.9989906520862358,0.9999637107610971,0.9990818242337666,0.9961597792981831,0.9912075181222562,0.9842662647157803,0.9800764501739062,0.9991634324931259,0.9999737091764288,0.9989027785364574,0.995793243745526,0.9906585758672029,0.9835442280274658,0.9792645376266745,0.9991393117202327,1.0,0.9989852811429266,0.9959321900757991,0.9908542965905007,0.9837852482737025,0.9795185665253221,0.9990159626779421,0.9998962673116251,0.9989054713910245,0.9958693741029653,0.9907977835080872,0.983747097345081,0.979497860733817
high_mean40,0.9801782821129317,0.9795467799828976,0.9795378836893289,0.9793069415522535,0.9962797525948748,0.9988137468857841,0.9999599057790185,0.9988794543378245,0.9953191620219584,0.9892859439241516,0.9853671172160414,0.9966195746336862,0.9990159645950031,0.9999711563029944,0.9986611849248607,0.9948752480220181,0.988624688876837,0.9845960528615307,0.9965464913922979,0.9989852811429266,1.0,0.9987599967471655,0.9950467830688084,0.9888564471189247,0.984846380418448,0.9963921857090681,0.9988498910053417,0.9998877176028741,0.998675554998995,0.9949747427925563,0.9888107862704911,0.9848232551053889
high_mean30,0.9855231497284734,0.984918783600884,0.984901391293788,0.9846709061903929,0.9918337027702704,0.9956225717413356,0.9985563251634799,0.9999538352083864,0.99855284542872,0.9939528820189928,0.9904630567903819,0.9923422430800165,0.9960215848662045,0.998801851053456,0.9999672393119536,0.9982729249826038,0.9933877651005683,0.9897509973223938,0.9922180756991689,0.9959321900757991,0.9987599967471655,1.0,0.9983992913487161,0.9936007824954328,0.9899982389637223,0.9920317950175536,0.9957592677876828,0.9986086627409437,0.9998747937376692,0.9983032223643785,0.9935359230900173,0.9899559310903794
high_mean20,0.9906365808820008,0.9900604542833648,0.9900544015443289,0.989827498114432,0.9857013702903086,0.990408774505295,0.9946770610296519,0.99814659464314,0.9999430902972644,0.9979050041009121,0.9951566683440399,0.9863770196577089,0.9910055244231593,0.9951608800005365,0.9984600540672004,0.999960192220525,0.9975060194152119,0.9945486651884758,0.9862007395559672,0.9908542965905007,0.9950467830688084,0.9983992913487161,1.0,0.9976712784836546,0.9947668051423125,0.9859838815313219,0.9906444781312903,0.9948491849851959,0.998227475037942,0.9998520398362842,0.9975852602924619,0.9947189630384362
high_mean10,0.9954098784672232,0.9948612367845056,0.994833809443387,0.9946289674112588,0.9779146415253244,0.9832055214145689,0.9883202064797355,0.9931330248058285,0.9973201186514945,0.9999145283911721,0.9990744661170636,0.9787533246490732,0.9839979245138859,0.9890434545394667,0.9937511560461657,0.9977653545004883,0.999942299122085,0.9986962082126765,0.9785293739632498,0.9837852482737025,0.9888564471189247,0.9936007824954328,0.9976712784836546,1.0,0.9988733671723596,0.9782747868500944,0.9835378331239457,0.9886067256130838,0.9933625830369883,0.9974553903866963,0.9998010642228566,0.9987280755019412
high_mean5,0.9976632819608696,0.9971741738590911,0.9970845838397464,0.9969341897869108,0.9734226489047088,0.9788716030298562,0.984231058353814,0.9894206382117705,0.9942651266242849,0.9985154228868248,0.9998673993112926,0.974340836583769,0.9797623214972018,0.9850720496395222,0.9901956962701427,0.9949288570625943,0.9989490246189167,0.9999129486649618,0.9740942584411553,0.9795185665253221,0.984846380418448,0.9899982389637223,0.9947668051423125,0.9988733671723596,1.0,0.9738201465314136,0.9792542455874047,0.9845773486656592,0.9897275619830782,0.994517503527521,0.9986290594943749,0.9997318334765245
low_mean60,0.9690009481847368,0.9682591430060413,0.968384209269787,0.9680792741667296,0.9999706396883629,0.9991980016169641,0.9966873170987974,0.992437124396652,0.9864919548429995,0.9788856779366653,0.9744929063011275,0.9999697084337389,0.9990352182974648,0.9963638499201304,0.9919566710038923,0.9858588874986705,0.978107184782654,0.9736395151520996,0.999902761044774,0.9990159626779421,0.9963921857090681,0.9920317950175536,0.9859838815313219,0.9782747868500944,0.9738201465314136,1.0,0.999134615058821,0.9965265832196174,0.9921759391958938,0.9861235607402276,0.978418833288697,0.9739716755783021
low_mean50,0.9745312018354502,0.9737969478445109,0.9739384227548036,0.9736269701189894,0.9990151328027028,0.9999679029653868,0.9990554728903368,0.9960949849793669,0.9911038474706111,0.9841215585706241,0.979911098796355,0.9991782530621113,0.9999672667242232,0.9988652485650218,0.9957174929987591,0.9905443513088042,0.9833885427690469,0.9790884779877348,0.999061541875803,0.9998962673116251,0.9988498910053417,0.9957592677876828,0.9906444781312903,0.9835378331239457,0.9792542455874047,0.999134615058821,1.0,0.9989795316927105,0.9959046588687044,0.9907930812886764,0.983697555028585,0.9794240270393427
low_mean40,0.9799960774553046,0.979277445444782,0.9794335251016951,0.9791141518639297,0.9963205399026455,0.9988429589355327,0.9999642777959546,0.9988461248853104,0.9952386564152951,0.9891486650471107,0.9852060570387153,0.996650705396517,0.9990346393056582,0.9999637478308996,0.9986155290219394,0.9947816195291656,0.9884754607026642,0.9844243511837654,0.9964851518565511,0.9989054713910245,0.9998877176028741,0.9986086627409437,0.9948491849851959,0.9886067256130838,0.9845773486656592,0.9965265832196174,0.9989795316927105,1.0,0.9987511477073624,0.995001327804242,0.9887774267547617,0.9847628611001237
low_mean30,0.9853361528333265,0.9846360421283636,0.9847967663869264,0.9844710721348221,0.991885601432692,0.9956684531217621,0.9985897660309835,0.9999582956057429,0.9985135965610638,0.9938444549839431,0.9903168532205928,0.9923841340046096,0.9960567889657738,0.9988235601070372,0.9999583405404097,0.9982177368693722,0.9932611982827542,0.9895872795925252,0.992168390252834,0.9958693741029653,0.998675554998995,0.9998747937376692,0.998227475037942,0.9933625830369883,0.9897275619830782,0.9921759391958938,0.9959046588687044,0.9987511477073624,1.0,0.9983845700766687,0.9935419124335861,0.9899185048864093
low_mean20,0.9904917871038301,0.9898076841932557,0.989996091187101,0.9896621468624269,0.9857499870799458,0.99045929321831,0.9947208578118056,0.9981799786311458,0.9999469965009388,0.997843439941735,0.9950565045714391,0.9864168297570495,0.9910458537342431,0.9951942395103428,0.9984824519784221,0.9999487489270709,0.9974252517973116,0.9944281053339157,0.9861502191014858,0.9907977835080872,0.9949747427925563,0.9983032223643785,0.9998520398362842,0.9974553903866963,0.994517503527521,0.9861235607402276,0.9907930812886764,0.995001327804242,0.9983845700766687,1.0,0.9976651089478565,0.9947519511471619
low_mean10,0.9953212382450536,0.9946423680392539,0.9948616956861044,0.9945244805118598,0.9779705419535654,0.9832701274895848,0.9883866343670002,0.9931916794578334,0.997383366090569,0.9999172709520469,0.9990324341818735,0.9788018251281516,0.984053892627287,0.9890996877489353,0.9938015943115425,0.997817073995587,0.9999248363567801,0.9986334773629691,0.9784907147396021,0.983747097345081,0.9888107862704911,0.9935359230900173,0.9975852602924619,0.9998010642228566,0.9986290594943749,0.978418833288697,0.983697555028585,0.9887774267547617,0.9935419124335861,0.9976651089478565,1.0,0.9988815082949285
low_mean5,0.9976018379926456,0.9969642132936721,0.9971618054980997,0.9968542827997778,0.9734893636412956,0.9789500060860928,0.9843160722131484,0.9894972276756235,0.9943588268865482,0.998571078962603,0.9998706232268322,0.9744005910600619,0.9798323455640222,0.9851478108836338,0.9902634148929824,0.9950136476974434,0.9989849772344963,0.9998881598374337,0.9740699821307826,0.979497860733817,0.9848232551053889,0.9899559310903794,0.9947189630384362,0.9987280755019412,0.9997318334765245,0.9739716755783021,0.9794240270393427,0.9847628611001237,0.9899185048864093,0.9947519511471619,0.9988815082949285,1.0
